SURVEY_YEAR,CRUISE,FEMALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,A,log10_A,B
2003,200301,4.106220397,-2.319505015,0.002295675,-2.310078467,0.004896903,2.594412679
2004,200401,4.051538324,-2.319505015,0.002295675,-2.310204,0.004895488,2.594412679
2005,200501,4.684112632,-2.319505015,0.002295675,-2.308751815,0.004911885,2.594412679
2006,200601,2.234721154,-2.319505015,0.002295675,-2.314374822,0.004848698,2.594412679
2006,200602,2.234721154,-2.319505015,0.002295675,-2.314374822,0.004848698,2.594412679
2007,200701,1.868376985,-2.319505015,0.002295675,-2.315215829,0.004839318,2.594412679
2007,200702,1.868376985,-2.319505015,0.002295675,-2.315215829,0.004839318,2.594412679
2008,200801,1.571311219,-2.319505015,0.002295675,-2.315897795,0.004831725,2.594412679
2008,200802,1.571311219,-2.319505015,0.002295675,-2.315897795,0.004831725,2.594412679
2009,200901,2.208438788,-2.319505015,0.002295675,-2.314435157,0.004848025,2.594412679
2009,200902,2.208438788,-2.319505015,0.002295675,-2.314435157,0.004848025,2.594412679
2010,201001,1.825304792,-2.319505015,0.002295675,-2.315314708,0.004838216,2.594412679
2010,201002,1.825304792,-2.319505015,0.002295675,-2.315314708,0.004838216,2.594412679
2011,201101,3.681833347,-2.319505015,0.002295675,-2.311052722,0.00488593,2.594412679
2011,201102,3.681833347,-2.319505015,0.002295675,-2.311052722,0.00488593,2.594412679
2012,201201,0.73087431,-2.319505015,0.002295675,-2.317827165,0.004810307,2.594412679
2012,201202,0.73087431,-2.319505015,0.002295675,-2.317827165,0.004810307,2.594412679
2013,201301,2.757264986,-2.319505015,0.002295675,-2.313175231,0.00486211,2.594412679
2014,201401,4.293609234,-2.319505015,0.002295675,-2.309648284,0.004901756,2.594412679
2015,201501,4.698644231,-2.319505015,0.002295675,-2.308718455,0.004912262,2.594412679
2016,201601,5.385835148,-2.319505015,0.002295675,-2.307140888,0.004930138,2.594412679
2017,201701,2.895387441,-2.319505015,0.002295675,-2.312858146,0.004865661,2.594412679
2017,201702,2.895387441,-2.319505015,0.002295675,-2.312858146,0.004865661,2.594412679
2018,201801,4.616547842,-2.319505015,0.002295675,-2.308906922,0.004910131,2.594412679
2019,201901,5.064413568,-2.319505015,0.002295675,-2.307878767,0.004921769,2.594412679
2021,202101,4.043522372,-2.319505015,0.002295675,-2.310222402,0.004895281,2.594412679
2021,202102,4.043522372,-2.319505015,0.002295675,-2.310222402,0.004895281,2.594412679
2022,202201,3.563780788,-2.319505015,0.002295675,-2.311323733,0.004882882,2.594412679
2023,202301,3.288313099,-2.319505015,0.002295675,-2.311956117,0.004875778,2.594412679
