SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,A_BASE,ATR,AOS,B,BTR,BOS,A_NS,A_OS,LOG10_A_NS,LOG10_A_OS,B_NS,B_OS
1984,198401,0.146434469,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1984,198402,-0.490258439,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1985,198501,0.569949805,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1986,198601,0.027409375,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1986,198602,0.056544229,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1987,198701,1.750456006,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1988,198801,-0.027052278,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1989,198901,2.033326672,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.473737,-3.314888213,0.000335941,0.000484297,3.049514102,2.982210042
1990,199001,0.106140632,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1991,199101,0.792492851,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1992,199201,0.555319482,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1993,199301,0.863700194,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1994,199401,-0.739458194,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1995,199501,-0.327529554,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1996,199601,1.591669266,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1997,199701,0.912269894,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1998,199801,1.722317117,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1999,199901,-0.300807871,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2000,200001,0.33576427,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2001,200101,0.652144529,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2002,200201,1.270521737,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2003,200301,1.197786717,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2004,200401,0.948009006,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2005,200501,1.169657863,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2006,200601,-0.732824594,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2007,200701,-0.416535308,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2008,200801,-0.48575293,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2009,200901,-0.486539319,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2010,201001,-0.12429109,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2011,201101,0.885844606,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2012,201201,-0.401972352,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2013,201301,-0.202219246,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2014,201401,1.672583256,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2015,201501,-0.237342305,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2016,201601,0.189412073,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2017,201701,-0.16544028,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2018,201801,3.250773843,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.38639,-3.227541187,0.000410781,0.000592187,3.009496967,2.942192907
2019,201901,2.535983091,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.437673,-3.2788246,0.000365029,0.00052623,3.032991931,2.965687871
2021,202101,2.35189603,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.450881,-3.29203212,0.000354094,0.000510467,3.03904282,2.97173876
2022,202201,-0.354045714,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
2023,202301,-0.684024496,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
