"","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.length","log10.weight","log.length","log.weight","Cooks_D","SC"
"43",-18758,201901,162,6,"J-14",69322,1,56.9,NA,2,NA,NA,NA,132,NA,NA,"2019",1.75511226639507,2.12057393120585,4.04129534113228,4.88280192258637,7.31503363744829e-06,"NS"
"44",-18758,201901,162,6,"J-14",69322,1,57.2,NA,2,NA,NA,NA,140,NA,NA,"2019",1.75739602879302,2.14612803567824,4.04655389838575,4.9416424226093,0.000717741449383367,"NS"
"45",-8475,201201,162,4,"J-15",69322,1,57.6,NA,2,NA,NA,NA,136,NA,NA,"2012",1.76042248342321,2.13353890837022,4.05352256770185,4.91265488573605,4.381185784506e-06,"NS"
"46",-9865,201301,89,4,"J-15",69322,1,57.6,NA,2,NA,NA,NA,142,NA,NA,"2013",1.76042248342321,2.15228834438306,4.05352256770185,4.95582705760126,0.000494755709834433,"NS"
"47",-13921,201501,162,5,"J-16",69322,1,57.8,NA,2,NA,NA,NA,130,NA,NA,"2015",1.76192783842053,2.11394335230684,4.05698877567833,4.86753445045558,0.00112180380277413,"NS"
"49",-18730,201901,94,10,"J-13",69322,1,58.2,NA,2,NA,NA,NA,148,NA,NA,"2019",1.76492298464989,2.17026171539496,4.06388535473739,4.99721227376411,0.000724142695874216,"NS"
"62",-18730,201901,94,10,"J-13",69322,1,62,NA,2,NA,NA,NA,170,NA,NA,"2019",1.79239168949825,2.23044892137827,4.12713438504509,5.13579843705026,3.18933313740837e-05,"NS"
"64",-5697,200901,88,204,"I-13",69322,1,62.7,NA,2,NA,NA,NA,174,NA,NA,"2009",1.79726754083072,2.2405492482826,4.13836144763888,5.15905529921453,0.000132865664026571,"NS"
"67",-9274,201201,162,220,"I-14",69322,1,63.4,NA,2,NA,NA,NA,186,NA,NA,"2012",1.80208925788173,2.26951294421792,4.14946386144318,5.2257466737132,1.95083448651865e-05,"NS"
"68",-11686,200601,88,198,"J-13",69322,1,63.5,NA,2,NA,NA,NA,192,13.3,NA,"2006",1.80277372529198,2.28330122870355,4.15103990589865,5.25749537202778,0.000310186756564907,"NS"
"72",-18730,201901,94,10,"J-13",69322,1,64,NA,2,NA,NA,NA,184,NA,NA,"2019",1.80617997398389,2.26481782300954,4.15888308335967,5.21493575760899,0.00023307609412723,"NS"
"79",-7498,201101,89,6,"K-13",69322,1,66.2,NA,2,NA,NA,NA,216,NA,NA,"2011",1.8208579894397,2.33445375115093,4.19268046294296,5.37527840768417,0.000114726442271128,"NS"
"84",-2878,200701,88,20,"I-14",69322,1,67,NA,2,NA,NA,NA,226,20,NA,"2007",1.82607480270083,2.3541084391474,4.20469261939097,5.42053499927229,0.000195552168292555,"NS"
"85",-16336,201701,94,8,"J-14",69322,1,67.1,NA,2,NA,NA,NA,210,NA,NA,"2017",1.82672252016899,2.32221929473392,4.20618404397764,5.34710753071747,0.000459380989656013,"NS"
"86",-16336,201701,94,8,"J-14",69322,1,67.1,NA,2,NA,NA,NA,220,NA,NA,"2017",1.82672252016899,2.34242268082221,4.20618404397764,5.39362754635236,1.26598587798517e-07,"NS"
"89",-9056,201201,89,10,"K-13",69322,1,67.3,NA,2,NA,NA,NA,218,NA,NA,"2012",1.82801506422398,2.3384564936046,4.20916023665068,5.38449506278909,7.52664470047341e-05,"NS"
"95",-2822,200701,89,26,"J-11",69322,1,68.2,NA,2,NA,NA,NA,224,NA,NA,"2007",1.83378437465648,2.35024801833416,4.22244456484942,5.41164605185504,0.000221280173053527,"NS"
"97",-11259,200601,134,7,"J-13",69322,1,68.3,NA,2,NA,NA,NA,216,NA,NA,"2006",1.83442070368153,2.33445375115093,4.22390976657674,5.37527840768417,0.00108141277365595,"NS"
"99",-11268,200601,134,16,"I-11",69322,1,68.6,NA,2,NA,NA,NA,218,NA,NA,"2006",1.83632411570675,2.3384564936046,4.22829253473184,5.38449506278909,0.00119903284186006,"NS"
"100",-9056,201201,89,10,"K-13",69322,1,68.7,NA,2,NA,NA,NA,240,NA,NA,"2012",1.83695673705955,2.38021124171161,4.2297491992283,5.48063892334199,2.94537132330616e-05,"NS"
"103",1023466,200001,88,189,"H-11",69322,1,69,78,2,NA,NA,NA,223,NA,NA,"2000",1.83884909073726,2.34830486304816,4.23410650459726,5.40717177146012,0.00104760354867373,"NS"
"104",-9056,201201,89,10,"K-13",69322,1,69.1,NA,2,NA,NA,NA,246,NA,NA,"2012",1.8394780473742,2.39093510710338,4.23555473077362,5.50533153593236,6.71231316401231e-05,"NS"
"105",-11260,200601,134,8,"I-13",69322,1,69.2,NA,2,NA,NA,NA,246,NA,NA,"2006",1.84010609445676,2.39093510710338,4.23700086262362,5.50533153593236,3.86904962398996e-05,"NS"
"106",-11687,200601,88,199,"I-13",69322,1,69.2,NA,2,NA,NA,NA,246,14.3,NA,"2006",1.84010609445676,2.39093510710338,4.23700086262362,5.50533153593236,3.86904962398996e-05,"NS"
"108",-2886,200701,88,28,"I-12",69322,1,69.4,NA,2,NA,NA,NA,236,21,NA,"2007",1.84135947045486,2.37291200297011,4.23988686751276,5.46383180502561,0.000240507860216315,"NS"
"113",-9056,201201,89,10,"K-13",69322,1,70.4,NA,2,NA,NA,NA,256,NA,NA,"2012",1.84757265914211,2.40823996531185,4.254193263164,5.54517744447956,3.22727669647853e-08,"NS"
"114",-11262,200601,134,10,"G-13",69322,1,70.4,NA,2,NA,NA,NA,262,NA,NA,"2006",1.84757265914211,2.41830129131975,4.254193263164,5.5683445037611,9.79360813765923e-05,"NS"
"119",-13921,201501,162,5,"J-16",69322,1,70.9,NA,2,NA,NA,NA,276,NA,NA,"2015",1.85064623518307,2.44090908206522,4.26127043353808,5.62040086571715,0.000491612767605716,"NS"
"120",1063405,200101,89,22,"J-11",69322,1,71,NA,2,NA,NA,NA,246,NA,NA,"2001",1.85125834871908,2.39093510710338,4.26267987704132,5.50533153593236,0.00074476543082524,"NS"
"121",-17345,201701,94,235,"J-11",69322,1,71,NA,2,NA,NA,NA,250,19.9,NA,"2017",1.85125834871908,2.39794000867204,4.26267987704132,5.52146091786225,0.000425196463601294,"NS"
"122",1023466,200001,88,189,"H-11",69322,1,71,84,2,NA,NA,NA,264,NA,NA,"2000",1.85125834871908,2.42160392686983,4.26267987704132,5.57594910314632,3.65802033911747e-06,"NS"
"125",1023466,200001,88,189,"H-11",69322,1,71,82,2,NA,NA,NA,278,NA,NA,"2000",1.85125834871908,2.44404479591808,4.26267987704132,5.62762111369064,0.000541999842541644,"NS"
"126",1023466,200001,88,189,"H-11",69322,1,71,85,2,NA,NA,NA,287,NA,NA,"2000",1.85125834871908,2.45788189673399,4.26267987704132,5.65948221575962,0.00132908650871109,"NS"
"129",-2877,200701,88,19,"J-14",69322,1,71.4,NA,2,NA,NA,NA,246,20.4,NA,"2007",1.85369821177617,2.39093510710338,4.26829786934554,5.50533153593236,0.00117246486657799,"NS"
"131",-7499,201101,89,7,"J-13",69322,1,71.5,NA,2,NA,NA,NA,240,NA,NA,"2011",1.85430604180108,2.38021124171161,4.26969744969996,5.48063892334199,0.00212000999342754,"NS"
"132",-13921,201501,162,5,"J-16",69322,1,71.6,NA,2,NA,NA,NA,260,NA,NA,"2015",1.85491302230786,2.41497334797082,4.2710950739666,5.56068163101553,0.000227514998944052,"NS"
"133",-11260,200601,134,8,"I-13",69322,1,71.6,NA,2,NA,NA,NA,264,NA,NA,"2006",1.85491302230786,2.42160392686983,4.2710950739666,5.57594910314632,7.847408602971e-05,"NS"
"134",-2878,200701,88,20,"I-14",69322,1,71.7,NA,2,NA,NA,NA,268,20.6,NA,"2007",1.8555191556678,2.42813479402879,4.27249074760558,5.59098698051086,2.02362530018258e-05,"NS"
"139",-2886,200701,88,28,"I-12",69322,1,72,NA,2,NA,NA,NA,272,23.5,NA,"2007",1.85733249643127,2.4345689040342,4.27666611901606,5.605802066296,1.41663950068839e-05,"NS"
"141",-9056,201201,89,10,"K-13",69322,1,72.3,NA,2,NA,NA,NA,280,NA,NA,"2012",1.85913829729453,2.44715803134222,4.28082412916472,5.63478960316925,7.10960719546288e-06,"NS"
"146",-9057,201201,89,11,"J-13",69322,1,73,NA,2,NA,NA,NA,258,NA,NA,"2012",1.86332286012046,2.41161970596323,4.29045944114839,5.55295958492162,0.00172713435852345,"NS"
"147",1010911,200001,88,21,"I-11",69322,1,73,NA,2,NA,NA,NA,264,NA,NA,"2000",1.86332286012046,2.42160392686983,4.29045944114839,5.57594910314632,0.00105560897323791,"NS"
"149",-2887,200701,88,29,"J-12",69322,1,73,NA,2,NA,NA,NA,286,28.6,NA,"2007",1.86332286012046,2.45636603312904,4.29045944114839,5.65599181081985,8.38524394556975e-07,"NS"
"153",-11681,200601,88,193,"I-10",69322,1,73.2,NA,2,NA,NA,NA,296,20.2,NA,"2006",1.86451108105839,2.47129171105894,4.29319542096727,5.69035945432406,8.49706181264045e-05,"NS"
"155",-7500,201101,89,8,"I-13",69322,1,73.6,NA,2,NA,NA,NA,295,NA,NA,"2011",1.8668778143375,2.46982201597816,4.29864502573483,5.68697535633982,1.38840977182105e-06,"NS"
"156",-11268,200601,134,16,"I-11",69322,1,73.7,NA,2,NA,NA,NA,296,NA,NA,"2006",1.86746748785905,2.47129171105894,4.30000279919529,5.69035945432406,7.0373307029696e-07,"NS"
"161",1010911,200001,88,21,"I-11",69322,1,74,NA,2,NA,NA,NA,282,NA,NA,"2000",1.86923171973098,2.45024910831936,4.30406509320417,5.64190707093811,0.00051679556703306,"NS"
"162",-16336,201701,94,8,"J-14",69322,1,74,NA,2,NA,NA,NA,300,NA,NA,"2017",1.86923171973098,2.47712125471966,4.30406509320417,5.7037824746562,1.21773214931006e-06,"NS"
"165",1023466,200001,88,189,"H-11",69322,1,74,86,2,NA,NA,NA,311,NA,NA,"2000",1.86923171973098,2.49276038902684,4.30406509320417,5.73979291217923,0.000224281597820534,"NS"
"166",-11260,200601,134,8,"I-13",69322,1,74.1,NA,2,NA,NA,NA,272,NA,NA,"2006",1.86981820797933,2.4345689040342,4.30541553230204,5.605802066296,0.00145775233841326,"NS"
"167",-9865,201301,89,4,"J-15",69322,1,74.2,NA,2,NA,NA,NA,306,NA,NA,"2013",1.87040390527903,2.48572142648158,4.30676415017333,5.72358510195238,2.97061077380645e-05,"NS"
"170",-9054,201201,89,8,"J-14",69322,1,74.4,NA,2,NA,NA,NA,290,NA,NA,"2012",1.87157293554588,2.46239799789896,4.30945594183905,5.66988092298052,0.000334356561813967,"NS"
"180",-9869,201301,89,8,"I-13",69322,1,75,NA,2,NA,NA,NA,332,NA,NA,"2013",1.8750612633917,2.52113808370404,4.31748811353631,5.80513496891649,0.000547264894999794,"NS"
"181",1023483,200001,88,206,"E-10",69322,1,75,93,2,NA,NA,NA,344,NA,NA,"2000",1.8750612633917,2.53655844257153,4.31748811353631,5.8406416573734,0.00135066035896589,"NS"
"182",-6131,201001,162,12,"G-13",69322,1,75.2,NA,2,NA,NA,NA,312,NA,NA,"2010",1.87621784059164,2.49415459401844,4.32015123095579,5.74300318780948,9.62730205405734e-06,"NS"
"183",-8195,201101,89,206,"H-12",69322,1,75.2,NA,2,NA,NA,NA,314,NA,NA,"2011",1.87621784059164,2.49692964807321,4.32015123095579,5.74939298590825,5.04582336950223e-07,"NS"
"189",-18770,201901,162,18,"J-10",69322,1,75.9,NA,2,NA,NA,NA,298,NA,NA,"2019",1.88024177589548,2.47421626407626,4.32941668440158,5.6970934865054,0.000938882302598023,"NS"
"194",1010911,200001,88,21,"I-11",69322,1,76,NA,2,NA,NA,NA,320,NA,NA,"2000",1.88081359228079,2.50514997831991,4.33073334028633,5.76832099579377,3.5007824471903e-05,"NS"
"195",-17344,201701,94,234,"I-11",69322,1,76,NA,2,NA,NA,NA,346,22.4,NA,"2017",1.88081359228079,2.53907609879278,4.33073334028633,5.84643877505772,0.000518961886773423,"NS"
"198",-9274,201201,162,220,"I-14",69322,1,76.4,NA,2,NA,NA,NA,312,NA,NA,"2012",1.88309335857569,2.49415459401844,4.33598269617247,5.74300318780948,0.000443303270690272,"NS"
"201",-4427,200801,88,193,"J-12",69322,1,76.7,NA,2,NA,NA,NA,316,21.4,NA,"2008",1.88479536394898,2.4996870826184,4.33990170837321,5.75574221358691,0.000429989006156679,"NS"
"209",-9057,201201,89,11,"J-13",69322,1,77.3,NA,2,NA,NA,NA,322,NA,NA,"2012",1.88817949391832,2.50785587169583,4.34769395559338,5.77455154554441,0.000503254048655426,"NS"
"210",-9869,201301,89,8,"I-13",69322,1,77.3,NA,2,NA,NA,NA,324,NA,NA,"2013",1.88817949391832,2.51054501020661,4.34769395559338,5.78074351579233,0.000409170801705832,"NS"
"211",-6129,201001,162,10,"I-13",69322,1,77.3,NA,2,NA,NA,NA,330,NA,NA,"2010",1.88817949391832,2.51851393987789,4.34769395559338,5.79909265446053,0.000187489417158421,"NS"
"212",-2893,200701,88,35,"G-10",69322,1,77.3,NA,2,NA,NA,NA,332,22,NA,"2007",1.88817949391832,2.52113808370404,4.34769395559338,5.80513496891649,0.00013318604142202,"NS"
"213",-18766,201901,162,14,"J-12",69322,1,77.3,NA,2,NA,NA,NA,358,NA,NA,"2019",1.88817949391832,2.55388302664387,4.34769395559338,5.8805329864007,0.000234500078176688,"NS"
"214",-4822,200901,88,17,"J-12",69322,1,77.7,NA,2,NA,NA,NA,338,NA,NA,"2009",1.89042101880091,2.52891670027765,4.3528552573736,5.82304589548302,0.000116946453092522,"NS"
"215",-16356,201701,94,19,"H-11",69322,1,77.8,NA,2,NA,NA,NA,340,NA,NA,"2017",1.89097959698969,2.53147891704225,4.35414143118435,5.82894561761021,0.000102607248245976,"NS"
"219",1010911,200001,88,21,"I-11",69322,1,78,NA,2,NA,NA,NA,332,NA,NA,"2000",1.89209460269048,2.52113808370404,4.35670882668959,5.80513496891649,0.000451032269582407,"NS"
"221",1023466,200001,88,189,"H-11",69322,1,78,92,2,NA,NA,NA,356,NA,NA,"2000",1.89209460269048,2.55144999797288,4.35670882668959,5.87493073085203,1.03031951893296e-05,"NS"
"223",1010911,200001,88,21,"I-11",69322,1,78,NA,2,NA,NA,NA,366,NA,NA,"2000",1.89209460269048,2.56348108539441,4.35670882668959,5.90263333340137,0.000166752199677222,"NS"
"224",1063405,200101,89,22,"J-11",69322,1,78,NA,2,NA,NA,NA,366,NA,NA,"2001",1.89209460269048,2.56348108539441,4.35670882668959,5.90263333340137,0.000166752199677222,"NS"
"225",1023466,200001,88,189,"H-11",69322,1,78,90,2,NA,NA,NA,384,NA,NA,"2000",1.89209460269048,2.58433122436753,4.35670882668959,5.95064255258773,0.000883840686438594,"NS"
"227",-5696,200901,88,203,"I-12",69322,1,78,NA,2,NA,NA,NA,400,NA,NA,"2009",1.89209460269048,2.60205999132796,4.35670882668959,5.99146454710798,0.00193848139923233,"NS"
"228",-9753,201301,162,9,"G-14",69322,1,78,NA,2,NA,NA,NA,402,25.1,NA,"2013",1.89209460269048,2.60422605308447,4.35670882668959,5.99645208861902,0.00209536674971607,"NS"
"230",-4822,200901,88,17,"J-12",69322,1,78.1,NA,2,NA,NA,NA,336,NA,NA,"2009",1.8926510338773,2.52633927738984,4.35799005684564,5.8171111599632,0.000338706789536597,"NS"
"231",-7580,201101,162,16,"F-12",69322,1,78.2,NA,2,NA,NA,NA,330,NA,NA,"2011",1.89320675305985,2.51851393987789,4.35926964755127,5.79909265446053,0.00067799364426968,"NS"
"233",-4427,200801,88,193,"J-12",69322,1,78.2,NA,2,NA,NA,NA,376,24.9,NA,"2008",1.89320675305985,2.57518784492766,4.35926964755127,5.92958914338989,0.000378430411715531,"NS"
"236",-11681,200601,88,193,"I-10",69322,1,78.4,NA,2,NA,NA,NA,368,21.7,NA,"2006",1.89431606268444,2.56584781867352,4.36182392735636,5.90808293816893,8.32513959485702e-05,"NS"
"239",-9056,201201,89,10,"K-13",69322,1,78.6,NA,2,NA,NA,NA,318,NA,NA,"2012",1.89542254603941,2.50242711998443,4.36437169943516,5.76205138278018,0.00194462808145668,"NS"
"240",-16358,201701,94,21,"J-11",69322,1,78.6,NA,2,NA,NA,NA,335,NA,NA,"2017",1.89542254603941,2.52504480703685,4.36437169943516,5.81413053182507,0.000682007522564012,"NS"
"241",-9056,201201,89,10,"K-13",69322,1,78.8,NA,2,NA,NA,NA,364,NA,NA,"2012",1.89652621748956,2.56110138364906,4.36691299686383,5.89715386763674,3.78723365326209e-08,"NS"
"244",-8195,201101,89,206,"H-12",69322,1,78.9,NA,2,NA,NA,NA,344,NA,NA,"2011",1.89707700320942,2.53655844257153,4.36818122785183,5.8406416573734,0.000438062071695686,"NS"
"245",-6137,201001,162,18,"I-11",69322,1,78.9,NA,2,NA,NA,NA,362,NA,NA,"2010",1.89707700320942,2.55870857053317,4.36818122785183,5.89164421182577,1.18649164445132e-05,"NS"
"248",1010911,200001,88,21,"I-11",69322,1,79,NA,2,NA,NA,NA,358,NA,NA,"2000",1.89762709129044,2.55388302664387,4.36944785246702,5.8805329864007,7.38416756335962e-05,"NS"
"249",1010911,200001,88,21,"I-11",69322,1,79,NA,2,NA,NA,NA,360,NA,NA,"2000",1.89762709129044,2.55630250076729,4.36944785246702,5.88610403145016,4.47256825492728e-05,"NS"
"250",1010912,200001,88,22,"H-11",69322,1,79,NA,2,NA,NA,NA,366,NA,NA,"2000",1.89762709129044,2.56348108539441,4.36944785246702,5.90263333340137,1.07003578745035e-06,"NS"
"251",1010911,200001,88,21,"I-11",69322,1,79,NA,2,NA,NA,NA,372,NA,NA,"2000",1.89762709129044,2.5705429398819,4.36944785246702,5.91889385427315,2.04932573044575e-05,"NS"
"254",-6137,201001,162,18,"I-11",69322,1,79.1,NA,2,NA,NA,NA,364,NA,NA,"2010",1.89817648349768,2.56110138364906,4.37071287477361,5.89715386763674,1.80894650180417e-05,"NS"
"255",-6129,201001,162,10,"I-13",69322,1,79.2,NA,2,NA,NA,NA,340,NA,NA,"2010",1.89872518158949,2.53147891704225,4.37197629882038,5.82894561761021,0.000829849132549378,"NS"
"257",-7500,201101,89,8,"I-13",69322,1,79.2,NA,2,NA,NA,NA,358,NA,NA,"2011",1.89872518158949,2.55388302664387,4.37197629882038,5.8805329864007,0.000126501690615266,"NS"
"260",-9068,201201,89,22,"F-11",69322,1,79.3,NA,2,NA,NA,NA,394,NA,NA,"2012",1.8992731873176,2.59549622182557,4.3732381286408,5.97635090929793,0.000399018933795844,"NS"
"261",-9056,201201,89,10,"K-13",69322,1,79.3,NA,2,NA,NA,NA,400,NA,NA,"2012",1.8992731873176,2.60205999132796,4.3732381286408,5.99146454710798,0.000630398145278101,"NS"
"262",-2893,200701,88,35,"G-10",69322,1,79.4,NA,2,NA,NA,NA,330,22,NA,"2007",1.8998205024271,2.51851393987789,4.37449836825309,5.79909265446053,0.00171883321195787,"NS"
"264",-8488,201201,162,17,"I-11",69322,1,79.5,NA,2,NA,NA,NA,358,NA,NA,"2012",1.90036712865647,2.55388302664387,4.37575702166029,5.8805329864007,0.000230076204327238,"NS"
"268",-7584,201101,162,20,"J-12",69322,1,79.7,NA,2,NA,NA,NA,352,NA,NA,"2011",1.90145832139611,2.54654266347813,4.37826958579617,5.8636311755981,0.000548848470401182,"NS"
"270",-6375,201001,89,16,"I-12",69322,1,79.8,NA,2,NA,NA,NA,372,NA,NA,"2010",1.90200289135073,2.5705429398819,4.37952350445576,5.91889385427315,3.77689962406348e-05,"NS"
"271",-7593,201101,162,29,"D-10",69322,1,79.8,NA,2,NA,NA,NA,410,NA,NA,"2011",1.90200289135073,2.61278385671974,4.37952350445576,6.01615715969835,0.000701799182463024,"NS"
"272",-17330,201701,94,220,"G-11",69322,1,79.9,NA,2,NA,NA,NA,342,21.2,NA,"2017",1.90254677931399,2.53402610605613,4.38077585277223,5.8348107370626,0.00126672492924658,"NS"
"273",-16361,201701,94,24,"J-10",69322,1,79.9,NA,2,NA,NA,NA,350,NA,NA,"2017",1.90254677931399,2.54406804435028,4.38077585277223,5.85793315448346,0.000775662785199512,"NS"
"276",1010911,200001,88,21,"I-11",69322,1,80,NA,2,NA,NA,NA,350,NA,NA,"2000",1.90308998699194,2.54406804435028,4.38202663467388,5.85793315448346,0.000846369183671562,"NS"
"277",1010913,200001,88,23,"G-11",69322,1,80,NA,2,NA,NA,NA,352,NA,NA,"2000",1.90308998699194,2.54654266347813,4.38202663467388,5.8636311755981,0.000739270148677234,"NS"
"284",1010911,200001,88,21,"I-11",69322,1,80,NA,2,NA,NA,NA,392,NA,NA,"2000",1.90308998699194,2.59328606702046,4.38202663467388,5.97126183979046,7.6643770494295e-05,"NS"
"285",1010911,200001,88,21,"I-11",69322,1,80,NA,2,NA,NA,NA,402,NA,NA,"2000",1.90308998699194,2.60422605308447,4.38202663467388,5.99645208861902,0.000294710636166714,"NS"
"286",1010911,200001,88,21,"I-11",69322,1,80,NA,2,NA,NA,NA,408,NA,NA,"2000",1.90308998699194,2.61066016308988,4.38202663467388,6.01126717440416,0.000489062643865565,"NS"
"287",1010911,200001,88,21,"I-11",69322,1,80,NA,2,NA,NA,NA,418,NA,NA,"2000",1.90308998699194,2.62117628177504,4.38202663467388,6.03548143252476,0.000912119483923589,"NS"
"288",-6130,201001,162,11,"H-13",69322,1,80.1,NA,2,NA,NA,NA,336,NA,NA,"2010",1.90363251608424,2.52633927738984,4.38327585407431,5.8171111599632,0.00192956551570077,"NS"
"294",-6130,201001,162,11,"H-13",69322,1,80.3,NA,2,NA,NA,NA,402,NA,NA,"2010",1.90471554527868,2.60422605308447,4.38576962095272,5.99645208861902,0.000173144761324269,"NS"
"297",-9274,201201,162,220,"I-14",69322,1,80.5,NA,2,NA,NA,NA,358,NA,NA,"2012",1.90579588036787,2.55388302664387,4.38825718442452,5.8805329864007,0.000768856615299585,"NS"
"299",-8482,201201,162,11,"F-13",69322,1,80.5,NA,2,NA,NA,NA,418,NA,NA,"2012",1.90579588036787,2.62117628177504,4.38825718442452,6.03548143252476,0.000547797847653742,"NS"
"303",-9054,201201,89,8,"J-14",69322,1,80.7,NA,2,NA,NA,NA,386,NA,NA,"2012",1.90687353472207,2.58658730467176,4.3907385752759,5.95583736946483,2.93327342631609e-05,"NS"
"304",-9870,201301,89,9,"H-13",69322,1,80.7,NA,2,NA,NA,NA,408,NA,NA,"2013",1.90687353472207,2.61066016308988,4.3907385752759,6.01126717440416,0.000163559473941551,"NS"
"305",-4813,200901,88,8,"H-14",69322,1,80.8,NA,2,NA,NA,NA,364,NA,NA,"2009",1.90741136077459,2.56110138364906,4.39197696552705,5.89715386763674,0.000670885569022052,"NS"
"306",-11268,200601,134,16,"I-11",69322,1,80.8,NA,2,NA,NA,NA,366,NA,NA,"2006",1.90741136077459,2.56348108539441,4.39197696552705,5.90263333340137,0.000581104074213039,"NS"
"307",-6130,201001,162,11,"H-13",69322,1,80.8,NA,2,NA,NA,NA,378,NA,NA,"2010",1.90741136077459,2.57749179983723,4.39197696552705,5.93489419561959,0.00018321682804996,"NS"
"310",-9755,201301,162,11,"F-13",69322,1,80.9,NA,2,NA,NA,NA,366,21.5,NA,"2013",1.90794852161227,2.56348108539441,4.39321382406445,5.90263333340137,0.000640837224713455,"NS"
"311",-9809,201301,162,16,"J-12",69322,1,80.9,NA,2,NA,NA,NA,394,23.1,NA,"2013",1.90794852161227,2.59549622182557,4.39321382406445,5.97635090929793,1.48475844316014e-06,"NS"
"313",-9871,201301,89,10,"G-13",69322,1,80.9,NA,2,NA,NA,NA,404,NA,NA,"2013",1.90794852161227,2.60638136511061,4.39321382406445,6.00141487796115,4.86397191494023e-05,"NS"
"315",-9056,201201,89,10,"K-13",69322,1,81,NA,2,NA,NA,NA,358,NA,NA,"2012",1.90848501887865,2.55388302664387,4.39444915467244,5.8805329864007,0.00113722728884894,"NS"
"317",1010912,200001,88,22,"H-11",69322,1,81,NA,2,NA,NA,NA,384,NA,NA,"2000",1.90848501887865,2.58433122436753,4.39444915467244,5.95064255258773,0.000117948647781135,"NS"
"319",1010911,200001,88,21,"I-11",69322,1,81,NA,2,NA,NA,NA,410,NA,NA,"2000",1.90848501887865,2.61278385671974,4.39444915467244,6.01615715969835,0.000110325068744019,"NS"
"320",1010911,200001,88,21,"I-11",69322,1,81,NA,2,NA,NA,NA,454,NA,NA,"2000",1.90848501887865,2.6570558528571,4.39444915467244,6.11809719804135,0.00191368788142786,"NS"
"328",-6378,201001,89,19,"K-11",69322,1,81.5,NA,2,NA,NA,NA,402,NA,NA,"2010",1.91115760873998,2.60422605308447,4.40060302024682,5.99645208861902,4.75231735835652e-06,"NS"
"329",-6379,201001,89,20,"K-10",69322,1,81.5,NA,2,NA,NA,NA,402,NA,NA,"2010",1.91115760873998,2.60422605308447,4.40060302024682,5.99645208861902,4.75231735835652e-06,"NS"
"330",-14127,201501,94,27,"D-10",69322,1,81.6,NA,2,NA,NA,NA,414,NA,NA,"2015",1.91169015875386,2.6170003411209,4.40182926197006,6.02586597382531,3.65602575271879e-05,"NS"
"339",-11265,200601,134,13,"F-11",69322,1,81.8,NA,2,NA,NA,NA,416,NA,NA,"2006",1.91275330367132,2.61909333062674,4.4042772436087,6.03068526026126,2.60828876545007e-05,"NS"
